imdb_id,titleType,primaryTitle,runtimeMinutes,id,budget,original_language,popularity,revenue,release_month,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,weighted_rating,actor_present,directors_present,Variance
tt0042200,movie,Annie Get Your Gun,107.0,25209,3768785,en,0.203137,8000000,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.4181469261671324,0,0,4231215
tt0042332,movie,Cinderella,74.0,11224,2900000,en,7.879486,263591415,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.186907505216813,0,0,260691415
tt0042876,movie,Rashomon,88.0,548,250000,ja,1.071522,96568,12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.9946919764437805,0,0,-153432
tt0043014,movie,Sunset Blvd.,110.0,599,1752000,en,1.753512,5000000,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22309619042153,0,0,3248000
tt0043116,movie,Wabash Avenue,92.0,110669,2115000,en,0.010292,2039000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.29955086854004,0,0,-76000
tt0043265,movie,The African Queen,105.0,488,1300000,en,1.564341,10750000,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.494198731268955,0,0,9450000
tt0043274,movie,Alice in Wonderland,75.0,12092,3000000,en,5.363204,572000000,7,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26150086259625,0,0,569000000
tt0043278,movie,An American in Paris,114.0,2769,2723903,en,1.412409,4500000,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6.862466286965391,0,0,1776097
tt0043338,movie,Ace in the Hole,111.0,25364,1821052,en,1.876229,1300000,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.447405853253297,1,0,-521052
tt0043949,movie,Quo Vadis,171.0,11620,8250000,en,1.727545,30000000,11,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.686417014523375,1,0,21750000
tt0044030,movie,Show Boat,108.0,17820,2300000,en,0.244033,11000000,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.420691959543534,0,0,8700000
tt0044079,movie,Strangers on a Train,101.0,845,1200000,en,1.919324,7000000,6,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.777469579172217,0,0,5800000
tt0044081,movie,A Streetcar Named Desire,122.0,702,1800000,en,1.998686,8000000,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.732038870616535,1,0,6200000
